EJECUCIÓN PRESUPUESTAL A OCTUBRE DE 2016;;;;;
SECRETARÍA DE HACIENDA;;;;;
MUNICIPIO DE MEDELLÍN;;;;;
DEPENDENCIA;FONDO;PROYECTO;NOMBRE DEL PROYECTO;PRESUPUESTO DEFINITIVO;PRESUPUESTO EJECUTADO
Secretaría Educación;160000115 ;130432 ; 14PP3-Atención integral 1ra i;85.229.656;85.229.656
Secretaría Educación;160000115 ;140177 ; ATENCIÓN DESDE LA GESTACIÓN H;930.302.884;930.302.884
Secretaría Educación;160000115 ;140185 ; 15PP14-CAPAC  LENG EXTRA  PER;120.000.000;120.000.000
Secretaría Educación;160000815 ;140177 ; ATENCIÓN DESDE LA GESTACIÓN H;1.005.415.117;1.005.415.117
Secretaría Educación;160000910 ;080011 ; Construc repos y termin de nu;3.487.045;3.487.045
Secretaría Educación;160000915 ;080011 ; Construc repos y termin de nu;33.092.347;33.092.347
Secretaría Educación;160000915 ;080441 ; MTTO, ADEC Y REFORMAS PLANTAS;254.182.857;254.182.857
Secretaría Educación;160004014 ;130345 ; JVE-60 Constr 2 Et IE Huerta ;760.409.436;760.409.436
Secretaría Educación;160004014 ;130712 ; JVE-02- Mantenimiento de la i;39.799.701;39.799.701
Secretaría Educación;160004015 ;130345 ; JVE-60 Constr 2 Et IE Huerta ;2.415.155.306;2.415.155.306
Secretaría Educación;160004015 ;150001 ; JVE-15 Adecuación I.E. José A;50.000.000;50.000.000
Secretaría Educación;160004209 ;080011 ; Construc repos y termin de nu;3;3
Secretaría Educación;160004213 ;080011 ; Construc repos y termin de nu;59.134.974;59.134.974
Secretaría Educación;160004213 ;080531 ; CONTRATACION  PRESTACION SERV;612.313;612.313
Secretaría Educación;160004214 ;080011 ; Construc repos y termin de nu;2.187.637;2.187.637
Secretaría Educación;160004215 ;080011 ; Construc repos y termin de nu;789.097.370;789.097.370
Secretaría Educación;160004215 ;080441 ; MTTO, ADEC Y REFORMAS PLANTAS;2.417.393;2.417.393
Secretaría Educación;160004215 ;080424 ; SERVICIOS ESCOLARES COMPLEMEN;1.305.265.400;1.305.265.400
Secretaría Educación;160004215 ;080537 ; APOYO ADMINISTRATIVO A INST E;2.324.044.559;2.324.044.559
Secretaría Educación;160004215 ;080531 ; CONTRATACION  PRESTACION SERV;1.547.789.210;1.547.789.210
Secretaría Educación;160004215 ;080442 ; SERV EDUC JOVENES EXTRAED, AD;1.394.833.975;1.394.833.975
Secretaría Educación;160005914 ;080011 ; Construc repos y termin de nu;170.727.208;170.727.208
Secretaría Educación;160005915 ;080011 ; Construc repos y termin de nu;420.518.369;420.518.369
Secretaría Educación;160070115 ;140177 ; ATENCIÓN DESDE LA GESTACIÓN H;3.077.462.606;3.077.462.606
Secretaría Educación;160070115 ;080442 ; SERV EDUC JOVENES EXTRAED, AD;250.765.733;250.765.733
Secretaría Educación;160090115 ;080522 ; FORTALECIMIENTO TECNOLOGIAS D;96.627.044;96.627.044
Secretaría Educación;160090115 ;080531 ; CONTRATACION  PRESTACION SERV;586.356.020;586.356.020
Secretaría de Participación Ciudadana;110000116 ;150288 ; 16PP12-FORTALECIMIENTO TELECE;514.000.000;453.205.635
Secretaría de Participación Ciudadana;110000116 ;150292 ; 16PP13- CREACIÓN Y FORTALECIM;212.000.000;178.748.185
Secretaría de Participación Ciudadana;110000116 ;150300 ; 16PP80-MANTENIMIENTO DE SEDES;58.000.000;58.000.000
Secretaría de Participación Ciudadana;110000116 ;080438 ; MANTENIMIENTO Y ADECU DE PROP;25.066.743;25.066.743
Secretaría de Participación Ciudadana;110000116 ;120215 ; Gestión y admon de equipamien;949.546.080;933.189.154
Secretaría de Participación Ciudadana;110000116 ;120214 ; Dotación sedes sociales  part;391.151.096;390.383.525
Secretaría de Participación Ciudadana;110000116 ;150271 ; 16PP1-PROM Y FORT DE LA PARTI;1.233.477.000;1.233.476.999
Secretaría de Participación Ciudadana;110000116 ;150272 ; 16PP1-OBSERVATORIO SOCIAL EN ;52.247.779;52.247.779
Secretaría de Participación Ciudadana;110000116 ;150273 ; 16PP1-FORMACIÓN COMPETENCIAS ;45.000.000;45.000.000
Secretaría de Participación Ciudadana;110000116 ;150274 ; 16PP2-PROYECTO DE PARTICIP CI;840.000.000;816.157.124
Secretaría de Participación Ciudadana;110000116 ;150275 ; 16PP3-FORT CAPAC Y CONDIC PAR;711.000.000;677.748.199
Secretaría de Participación Ciudadana;110000116 ;150276 ; 16PP4-PROY PROM FORT PART ORG;669.000.000;668.999.990
Secretaría de Participación Ciudadana;110000116 ;150277 ; 16PP5-VISIB ORGAN SOCIALES,CO;325.000.000;232.063.803
Secretaría de Participación Ciudadana;110000116 ;150278 ; 16PP6- FORMACIÓN CIUDADANA Y ;1.810.000.000;1.808.268.222
Secretaría de Participación Ciudadana;110000116 ;150279 ; 16PP7-VISIB ORGAN SOCIALES Y ;973.931.000;972.756.664
Secretaría de Participación Ciudadana;110000116 ;150280 ; 16PP8- FORT ORGANIZACIONES SO;470.964.316;470.964.315
Secretaría de Participación Ciudadana;110000116 ;150281 ; 16PP9-PROM Y APOYO A LAS ORGA;980.000.000;965.000.005
Secretaría de Participación Ciudadana;110000116 ;150282 ; 16PP10-FORT PARTICIPACIÓN CIU;550.000.000;550.000.000
Secretaría de Participación Ciudadana;110000116 ;150283 ; 16PP10-ESTRAT PROYECC CENT IN;150.000.000;149.999.999
Secretaría de Participación Ciudadana;110000116 ;150284 ; 16PP10-APOYO PLAN DE TRABAJO ;50.000.000;50.000.000
Secretaría de Participación Ciudadana;110000116 ;150285 ; 16PP10-FOMENTO DE LA GOBERNAB;50.000.000;49.999.999
Secretaría de Participación Ciudadana;110000116 ;150286 ; 16PP10-FORT PARTICIPACIÓN PAR;200.000.000;200.000.000
Secretaría de Participación Ciudadana;110000116 ;150287 ; 16PP11-PROY INT PARTICIP CIUD;146.000.000;146.000.000
Secretaría de Participación Ciudadana;110000116 ;150289 ; 16PP12-PARTIC SOCIAL Y LIDERA;287.200.000;263.932.314
Secretaría de Participación Ciudadana;110000116 ;150290 ; 16PP13-FORT A LA RED DE ORGAN;700.000.000;700.000.000
Secretaría de Participación Ciudadana;110000116 ;150291 ; 16PP13-CONT SEMI PART CIU INF;700.000.000;699.999.997
Secretaría de Participación Ciudadana;110000116 ;150293 ; 16PP14-FORT, MOD Y APO PLAN T;331.000.000;330.999.995
Secretaría de Participación Ciudadana;110000116 ;150294 ; 16PP15-FORT DE LA PARTICIPACI;494.000.000;492.910.266
Secretaría de Participación Ciudadana;110000116 ;150295 ; 16PP16-FORT PLANES DE TRABAJO;935.097.857;935.097.857
Secretaría de Participación Ciudadana;110000116 ;150296 ; 16PP50-APOYO Y FORT GRUPOS PA;623.000.000;556.635.825
Secretaría de Participación Ciudadana;110000116 ;150297 ; 16PP60-FORT PARTICIPACIÓN CIU;431.000.000;430.999.999
Secretaría de Participación Ciudadana;110000116 ;150298 ; 16PP70-PROM Y FORT CONV NIÑ, ;232.367.440;232.367.440
Secretaría de Participación Ciudadana;110000116 ;150299 ; 16PP80-FORT Y MODER ORGAN COM;248.500.000;226.175.056
Secretaría de Participación Ciudadana;110000116 ;150301 ; 16PP90-FORT PROY PARTICIP CIU;102.000.000;102.000.000
Secretaría de Participación Ciudadana;110000116 ;120205 ; Implementación presupuestació;2.428.394.200;2.418.394.199
Secretaría de Participación Ciudadana;110000116 ;120207 ; Apoyo y acomp JAL ejercicio d;830.000.000;791.252.539
Secretaría de Participación Ciudadana;110000116 ;120208 ; Prom y artic participación y ;50.000.000;0
Secretaría de Participación Ciudadana;110000116 ;120210 ; Promo Control Social  Gestión;405.595.920;405.595.920
Secretaría de Participación Ciudadana;110000116 ;120213 ; Formación Ciudadana para la P;138.000.000;88.000.000
Secretaría de Participación Ciudadana;110000116 ;120217 ; Apoyo Telecentros acceso digi;130.000.000;98.519.129
Secretaría de Participación Ciudadana;110000116 ;120216 ; Mejtto organiz y redes social;452.464.252;452.464.252
Secretaría de Participación Ciudadana;110010515 ;130463 ; JVE-80 Const cent integr desa;4.000;0
Secretaría de Participación Ciudadana;110011516 ;120213 ; Formación Ciudadana para la P;50.939.758;0
Secretaría de Participación Ciudadana;110070114 ;130692 ; JVE-13 Adec cond de particip ;0;0
Secretaría de Participación Ciudadana;110070115 ;120214 ; Dotación sedes sociales  part;0;0
Secretaría de Participación Ciudadana;110070115 ;120206 ; Jornadas de Vida y Acuerdos;0;0
Secretaría de Participación Ciudadana;110070115 ;120207 ; Apoyo y acomp JAL ejercicio d;0;0
Secretaría de Participación Ciudadana;110070115 ;120208 ; Prom y artic participación y ;0;0
Secretaría de Participación Ciudadana;110070116 ;120215 ; Gestión y admon de equipamien;100.000.000;100.000.000
Secretaría de Participación Ciudadana;110070116 ;120207 ; Apoyo y acomp JAL ejercicio d;1.010.761.997;917.526.237
Secretaría de Participación Ciudadana;110070116 ;120208 ; Prom y artic participación y ;371.705.273;371.705.273
Secretaría de Participación Ciudadana;110070116 ;120217 ; Apoyo Telecentros acceso digi;781.494.728;781.494.728
Secretaría de Participación Ciudadana;110070116 ;120216 ; Mejtto organiz y redes social;172.000.635;99.999.998
Secretaría de Participación Ciudadana;110090115 ;080438 ; MANTENIMIENTO Y ADECU DE PROP;0;0
Secretaría de Participación Ciudadana;110090115 ;120213 ; Formación Ciudadana para la P;0;0
Secretaría de Participación Ciudadana;110090115 ;120216 ; Mejtto organiz y redes social;0;0
Secretaría de Participación Ciudadana;110090116 ;080438 ; MANTENIMIENTO Y ADECU DE PROP;313.535.411;313.535.411
Secretaría de Participación Ciudadana;110090116 ;120215 ; Gestión y admon de equipamien;115.502.472;115.502.472
Secretaría de Participación Ciudadana;110090116 ;120207 ; Apoyo y acomp JAL ejercicio d;62.000.635;62.000.635
Secretaría de Participación Ciudadana;110090116 ;120208 ; Prom y artic participación y ;128.294.727;128.294.727
Secretaría de Participación Ciudadana;110090116 ;120210 ; Promo Control Social  Gestión;136.497.529;136.497.527
Secretaría de Participación Ciudadana;110090116 ;120213 ; Formación Ciudadana para la P;1.313.835.191;1.313.835.191
Secretaría de Participación Ciudadana;110090116 ;120216 ; Mejtto organiz y redes social;1.454.909.001;1.423.909.636
Secretaría de Participación Ciudadana;150000116 ;120215 ; Gestión y admon de equipamien;24.296.003;24.296.003
Secretaría de Participación Ciudadana;150070116 ;120208 ; Prom y artic participación y ;34.800.000;34.800.000
Secretaría de Participación Ciudadana;150090115 ;120213 ; Formación Ciudadana para la P;3.006.720;3.006.720
Secretaría de Participación Ciudadana;160000115 ;140326 ; 15PP16-FORTALECIMIENTO PLANES;233.253.060;233.253.060
Secretaría de Participación Ciudadana;160000115 ;120214 ; Dotación sedes sociales  part;50.665.698;50.665.698
Secretaría de Participación Ciudadana;160000115 ;140285 ; 15PP1-PROMOCIÓN Y FORTALECIMI;85.093.844;85.093.844
Secretaría de Participación Ciudadana;160000115 ;130212 ; PP13-02-APOYO Y FORTALEC A OR;13.833.718;13.833.718
Secretaría de Participación Ciudadana;160000115 ;140286 ; 15PP2-PARTICIPACIÓN CIUDADANA;48.172.248;48.172.248
Secretaría de Participación Ciudadana;160000115 ;140229 ; 15PP3-FORTALECIMIENTO DE CIUD;2.658.944;2.658.944
Secretaría de Participación Ciudadana;160000115 ;140322 ; 15PP4-PROMOCIÓN Y FORTALECIMI;80.390.835;80.390.835
Secretaría de Participación Ciudadana;160000115 ;130292 ; JVE-05 Comunicación, motivaci;329.575;329.575
Secretaría de Participación Ciudadana;160000115 ;140302 ; 15PP5-TERRITORIO INCLUYENTE, ;73.594.769;73.594.769
Secretaría de Participación Ciudadana;160000115 ;140290 ; 15PP6-FORMACIÓN CIUDADANA Y C;2.008.354;2.008.354
Secretaría de Participación Ciudadana;160000115 ;140323 ; 15PP7-FORTALECIMIENTO PARTICI;200.003.319;200.003.319
Secretaría de Participación Ciudadana;160000115 ;140274 ; 15PP8-ORGANIZACIONES SOCIALES;11.214.693;11.214.693
Secretaría de Participación Ciudadana;160000115 ;130039 ; PP13-09-FORTALEC. ORGANIZA CO;15.904.360;15.904.360
Secretaría de Participación Ciudadana;160000115 ;130461 ; JVE-09 Forma ciudada fortalec;100.791.424;100.791.424
Secretaría de Participación Ciudadana;160000115 ;140235 ; 15PP9-APOYAR PLANES DE TRABAJ;1.441.930;1.441.930
Secretaría de Participación Ciudadana;160000115 ;140103 ; JVE-10 EDUCACIÓN Y FORMACIÓN ;2.018.711;2.018.711
Secretaría de Participación Ciudadana;160000115 ;140275 ; 15PP11-PROYECTO INTEGRAL PART;2.216.078;2.216.078
Secretaría de Participación Ciudadana;160000115 ;140327 ; 15PP12-PARTICIPACIÓN SOCIAL Y;1.311.257;1.311.257
Secretaría de Participación Ciudadana;160000115 ;130203 ; PP13-13-FORTALEC ORGANIZA Y R;5.249.999;5.249.999
Secretaría de Participación Ciudadana;160000115 ;130204 ; PP13-13-SEMILLEROS INF. Y JUV;1.545.913;1.545.913
Secretaría de Participación Ciudadana;160000115 ;140375 ; 15PP13-CONSOLIDACIÓN Y FORTAL;118.078.603;118.078.603
Secretaría de Participación Ciudadana;160000115 ;140241 ; 15PP14-CONFORMAR, FORTALECER ;256.863.031;256.863.031
Secretaría de Participación Ciudadana;160000115 ;140236 ; 15PP15-PARTICIP SOCIAL Y DE L;1.730.316;1.730.316
Secretaría de Participación Ciudadana;160000115 ;130151 ; PP13-50-APOYO Y FORTALEC. DE ;8.550.473;8.550.473
Secretaría de Participación Ciudadana;160000115 ;140237 ; 15PP50-APOYO Y FORTALECIMIENT;2.595.475;2.595.475
Secretaría de Participación Ciudadana;160000115 ;140325 ; 15PP60-FORTALEC Y PROMOCIÓN O;40.106.372;40.106.372
Secretaría de Participación Ciudadana;160000115 ;130265 ; PP13-70 Fort Org Social y Com;1;1
Secretaría de Participación Ciudadana;160000115 ;140238 ; 15PP70-PROMOCION Y FORTALECIM;732.878;732.878
Secretaría de Participación Ciudadana;160000115 ;140239 ; 15PP80-FORMACIÓN SOCIAL Y POL;1.730.316;1.730.316
Secretaría de Participación Ciudadana;160000115 ;140240 ; 15PP90-FORTALECIMIENTO DE LA ;466.910;466.910
Secretaría de Participación Ciudadana;160070115 ;120214 ; Dotación sedes sociales  part;13.969.271;13.969.271
Secretaría de Participación Ciudadana;160090115 ;120213 ; Formación Ciudadana para la P;4;4
Secretaría de Cultura Ciudadana;110000116 ;120180 ; Parque Explora operación;2.300.000.000;1.743.470.963
Secretaría de Cultura Ciudadana;110000116 ;120169 ; Fortalecimiento del archivo h;496.454.335;492.719.653
Secretaría de Cultura Ciudadana;110000116 ;150077 ; 16PP1-CONTINUI Y FORT PLAN DE;1.410.000.000;989.067.624
Secretaría de Cultura Ciudadana;110000116 ;150078 ; 16PP2-FORTALEC DE DINÁMICAS A;547.000.000;546.780.000
Secretaría de Cultura Ciudadana;110000116 ;150079 ; 16PP3-FORTALE Y PROY PROCESOS;700.000.000;630.343.001
Secretaría de Cultura Ciudadana;110000116 ;150080 ; 16PP4-PROMOC, INTEGRAC Y ARTI;1.020.000.000;961.044.356
Secretaría de Cultura Ciudadana;110000116 ;150081 ; 16PP5-CONTINU PROGRAM QUE PRO;809.521.603;716.168.582
Secretaría de Cultura Ciudadana;110000116 ;150082 ; 16PP6-APOYO Y FOM PROCESOS FO;1.000.000.000;979.960.442
Secretaría de Cultura Ciudadana;110000116 ;150083 ; 16PP7-EL ARTE Y LA CULTURA UN;755.000.000;727.296.383
Secretaría de Cultura Ciudadana;110000116 ;150084 ; 16PP8-CULTURA Y EDUCACIÓN PRO;468.000.000;457.099.016
Secretaría de Cultura Ciudadana;110000116 ;150085 ; 16PP9-FORMAC, PROGRAM Y FORTA;888.871.379;832.947.156
Secretaría de Cultura Ciudadana;110000116 ;150086 ; 16PP10-PROMOCIÓN DEL ARTE Y L;548.334.000;543.241.117
Secretaría de Cultura Ciudadana;110000116 ;150088 ; 16PP11-FORTALECIMIENTO DE PRO;510.568.973;497.977.652
Secretaría de Cultura Ciudadana;110000116 ;150089 ; 16PP12 PLAN DE DESAROLLO CULT;963.000.000;912.535.802
Secretaría de Cultura Ciudadana;110000116 ;150090 ; 16PP13-ARTE Y CULTURA PARA LA;640.000.000;574.799.999
Secretaría de Cultura Ciudadana;110000116 ;150091 ; 16PP14-DESARROLLO CULTURAL DE;770.000.000;648.080.375
Secretaría de Cultura Ciudadana;110000116 ;150092 ; 16PP15-GUAYABAL SE FORTALECE ;505.000.000;500.466.461
Secretaría de Cultura Ciudadana;110000116 ;150093 ; 16PP16-BELÉN, POR UN TERRITOR;356.146.873;261.534.400
Secretaría de Cultura Ciudadana;110000116 ;150094 ; 16PP16-APOYO AL FESTIVAL MITO;25.000.000;23.953.040
Secretaría de Cultura Ciudadana;110000116 ;150095 ; 16PP60-APOYO Y FORTALECIMIE A;530.000.000;502.266.152
Secretaría de Cultura Ciudadana;110000116 ;150097 ; 16PP80-FORTALECIMIENTO EXPRES;607.101.200;557.203.305
Secretaría de Cultura Ciudadana;110000116 ;150098 ; 16PP90-ARTICULACIÓN Y FORTALE;120.000.000;76.000.000
Secretaría de Cultura Ciudadana;110000116 ;120176 ; Formación y creación para la ;1.100.000.000;696.450.048
Secretaría de Cultura Ciudadana;110000116 ;120174 ; Cultura ciudadana en equidad;1.787.000.000;1.075.290.180
Secretaría de Cultura Ciudadana;110000116 ;120179 ; Dllo y fortalecimiento de la ;179.999.997;179.999.997
Secretaría de Cultura Ciudadana;110000116 ;150087 ; 16PP10-APROPIACIACIÓN SOCIAL ;100.000.000;100.000.000
Secretaría de Cultura Ciudadana;110000116 ;150096 ; 16PP70-APOYO A LA SEMANA CULT;150.000.000;150.000.000
Secretaría de Cultura Ciudadana;110000116 ;120178 ; Fortalecimiento de los centro;1.500.000.000;1.044.582.836
Secretaría de Cultura Ciudadana;110000116 ;120171 ; Medellín Lectura Viva (Plan d;1.389.526.499;1.329.526.499
Secretaría de Cultura Ciudadana;110000116 ;120181 ; Fomento de identidad de ciuda;6.473.775.675;6.441.666.475
Secretaría de Cultura Ciudadana;110000116 ;120188 ; Programa de formación de públ;1.500.000.000;0
Secretaría de Cultura Ciudadana;110000116 ;120173 ; Bibliotecas, Lecturas y Desar;3.800.000.000;1.717.192.658
Secretaría de Cultura Ciudadana;110008914 ;120176 ; Formación y creación para la ;1;0
Secretaría de Cultura Ciudadana;110008914 ;120173 ; Bibliotecas, Lecturas y Desar;27.353;0
Secretaría de Cultura Ciudadana;110008916 ;120173 ; Bibliotecas, Lecturas y Desar;3.392.965.491;3.392.965.491
Secretaría de Cultura Ciudadana;110009515 ;120181 ; Fomento de identidad de ciuda;22.000.000;0
Secretaría de Cultura Ciudadana;110010511 ;130326 ; Equipamento Cultural y Comuni;30.549.296;0
Secretaría de Cultura Ciudadana;110012011 ;130326 ; Equipamento Cultural y Comuni;3.078.464.262;943.192.736
Secretaría de Cultura Ciudadana;110013615 ;120173 ; Bibliotecas, Lecturas y Desar;1.933.144;1.933.144
Secretaría de Cultura Ciudadana;110013616 ;120173 ; Bibliotecas, Lecturas y Desar;9.669.605;9.669.600
Secretaría de Cultura Ciudadana;110015213 ;120176 ; Formación y creación para la ;9.613.790;9.613.790
Secretaría de Cultura Ciudadana;110015214 ;120176 ; Formación y creación para la ;406.074.095;405.803.185
Secretaría de Cultura Ciudadana;110015215 ;120176 ; Formación y creación para la ;2.678.084.955;2.678.084.955
Secretaría de Cultura Ciudadana;110015216 ;120176 ; Formación y creación para la ;909.605.924;793.260.200
Secretaría de Cultura Ciudadana;110015314 ;120176 ; Formación y creación para la ;353.073;0
Secretaría de Cultura Ciudadana;110015315 ;120176 ; Formación y creación para la ;56.527.990;0
Secretaría de Cultura Ciudadana;110015612 ;140060 ; Fortal de infraest para el dl;67.087.415;0
Secretaría de Cultura Ciudadana;110015613 ;140060 ; Fortal de infraest para el dl;1.438.073.204;238.074.588
Secretaría de Cultura Ciudadana;110015614 ;140060 ; Fortal de infraest para el dl;736.145.959;0
Secretaría de Cultura Ciudadana;110015614 ;120181 ; Fomento de identidad de ciuda;0;0
Secretaría de Cultura Ciudadana;110015615 ;140060 ; Fortal de infraest para el dl;391.651.243;0
Secretaría de Cultura Ciudadana;110015616 ;140060 ; Fortal de infraest para el dl;1;0
Secretaría de Cultura Ciudadana;110015712 ;140060 ; Fortal de infraest para el dl;259.671;0
Secretaría de Cultura Ciudadana;110015713 ;140060 ; Fortal de infraest para el dl;3.855.707;0
Secretaría de Cultura Ciudadana;110015714 ;140060 ; Fortal de infraest para el dl;2.844.042;0
Secretaría de Cultura Ciudadana;110015715 ;140060 ; Fortal de infraest para el dl;206.942.097;0
Secretaría de Cultura Ciudadana;110016413 ;120173 ; Bibliotecas, Lecturas y Desar;1;0
Secretaría de Cultura Ciudadana;110018114 ;130421 ; MCV-Escuelas Medellín vive la;15.180.935;15.180.935
Secretaría de Cultura Ciudadana;110018115 ;130421 ; MCV-Escuelas Medellín vive la;152.222.410;151.649.106
Secretaría de Cultura Ciudadana;110018116 ;130421 ; MCV-Escuelas Medellín vive la;1.217.728.174;1.009.786.201
Secretaría de Cultura Ciudadana;110060114 ;130421 ; MCV-Escuelas Medellín vive la;2;0
Secretaría de Cultura Ciudadana;110070113 ;120302 ; Jornada Es. Complementaria Cu;0;0
Secretaría de Cultura Ciudadana;110070114 ;120182 ; Ciudad cult para la vida, mov;0;0
Secretaría de Cultura Ciudadana;110070115 ;120180 ; Parque Explora operación;0;0
Secretaría de Cultura Ciudadana;110070115 ;120175 ; Fomento y desarrollo de merca;0;0
Secretaría de Cultura Ciudadana;110070115 ;120172 ; Restaur y recup de mueb e inm;0;0
Secretaría de Cultura Ciudadana;110070115 ;120186 ; Adecuación y mtto de los cent;0;0
Secretaría de Cultura Ciudadana;110070115 ;120187 ; Dotac equipam centros cultura;0;0
Secretaría de Cultura Ciudadana;110070115 ;120391 ; Museo de la Memoria;0;0
Secretaría de Cultura Ciudadana;110070115 ;120174 ; Cultura ciudadana en equidad;0;0
Secretaría de Cultura Ciudadana;110070115 ;120190 ; Investigación cultural y del ;0;0
Secretaría de Cultura Ciudadana;110070115 ;120178 ; Fortalecimiento de los centro;0;0
Secretaría de Cultura Ciudadana;110070115 ;120171 ; Medellín Lectura Viva (Plan d;0;0
Secretaría de Cultura Ciudadana;110070115 ;120181 ; Fomento de identidad de ciuda;0;0
Secretaría de Cultura Ciudadana;110070115 ;120183 ; Voluntariado y construcción d;0;0
Secretaría de Cultura Ciudadana;110070115 ;120188 ; Programa de formación de públ;0;0
Secretaría de Cultura Ciudadana;110070115 ;120302 ; Jornada Es. Complementaria Cu;0;0
Secretaría de Cultura Ciudadana;110070115 ;120173 ; Bibliotecas, Lecturas y Desar;0;0
Secretaría de Cultura Ciudadana;110070116 ;130281 ; JVE-08 Fort.tejido social y p;55.000.000;55.000.000
Secretaría de Cultura Ciudadana;110070116 ;120175 ; Fomento y desarrollo de merca;140.613.918;140.613.918
Secretaría de Cultura Ciudadana;110070116 ;120176 ; Formación y creación para la ;217.000.000;20.000.000
Secretaría de Cultura Ciudadana;110070116 ;150215 ; Agenda artística y cultural U;351.872.072;348.601.072
Secretaría de Cultura Ciudadana;110070116 ;120172 ; Restaur y recup de mueb e inm;40.000.000;40.000.000
Secretaría de Cultura Ciudadana;110070116 ;120186 ; Adecuación y mtto de los cent;373.500.167;373.500.167
Secretaría de Cultura Ciudadana;110070116 ;120187 ; Dotac equipam centros cultura;171.993.600;151.803.084
Secretaría de Cultura Ciudadana;110070116 ;120174 ; Cultura ciudadana en equidad;160.536.400;95.000.000
Secretaría de Cultura Ciudadana;110070116 ;120182 ; Ciudad cult para la vida, mov;368.744.705;258.744.705
Secretaría de Cultura Ciudadana;110070116 ;120184 ; Ciudad cult diversidad étnica;841.225.295;841.225.295
Secretaría de Cultura Ciudadana;110070116 ;120185 ; Investig  acción comunic para;150.000.000;150.000.000
Secretaría de Cultura Ciudadana;110070116 ;120190 ; Investigación cultural y del ;0;0
Secretaría de Cultura Ciudadana;110070116 ;120179 ; Dllo y fortalecimiento de la ;0;0
Secretaría de Cultura Ciudadana;110070116 ;120171 ; Medellín Lectura Viva (Plan d;3.956.750.267;3.849.250.267
Secretaría de Cultura Ciudadana;110070116 ;120181 ; Fomento de identidad de ciuda;4.970.566.305;4.968.733.356
Secretaría de Cultura Ciudadana;110070116 ;120183 ; Voluntariado y construcción d;250.000.000;250.000.000
Secretaría de Cultura Ciudadana;110070116 ;120189 ; Convoc publ para la democrati;2.620.000.000;2.486.914.220
Secretaría de Cultura Ciudadana;110090114 ;120176 ; Formación y creación para la ;0;0
Secretaría de Cultura Ciudadana;110090114 ;120188 ; Programa de formación de públ;0;0
Secretaría de Cultura Ciudadana;110090115 ;120176 ; Formación y creación para la ;0;0
Secretaría de Cultura Ciudadana;110090115 ;120174 ; Cultura ciudadana en equidad;0;0
Secretaría de Cultura Ciudadana;110090115 ;120182 ; Ciudad cult para la vida, mov;0;0
Secretaría de Cultura Ciudadana;110090115 ;120178 ; Fortalecimiento de los centro;0;0
Secretaría de Cultura Ciudadana;110090115 ;120170 ; Divulg apropiac  patrim cult ;0;0
Secretaría de Cultura Ciudadana;110090115 ;120181 ; Fomento de identidad de ciuda;0;0
Secretaría de Cultura Ciudadana;110090115 ;120188 ; Programa de formación de públ;0;0
Secretaría de Cultura Ciudadana;110090115 ;120189 ; Convoc publ para la democrati;0;0
Secretaría de Cultura Ciudadana;110090115 ;120173 ; Bibliotecas, Lecturas y Desar;0;0
Secretaría de Cultura Ciudadana;110090116 ;120176 ; Formación y creación para la ;4.448.832.676;4.368.771.178
Secretaría de Cultura Ciudadana;110090116 ;120174 ; Cultura ciudadana en equidad;4.356.895.014;4.300.359.952
Secretaría de Cultura Ciudadana;110090116 ;120182 ; Ciudad cult para la vida, mov;765.119.164;765.119.164
Secretaría de Cultura Ciudadana;110090116 ;120178 ; Fortalecimiento de los centro;2.000.000.000;1.996.217.575
Secretaría de Cultura Ciudadana;110090116 ;120170 ; Divulg apropiac  patrim cult ;500.000.000;500.000.000
Secretaría de Cultura Ciudadana;110090116 ;120171 ; Medellín Lectura Viva (Plan d;84.587.674;13.823.051
Secretaría de Cultura Ciudadana;110090116 ;120181 ; Fomento de identidad de ciuda;2.146.224.325;2.146.224.325
Secretaría de Cultura Ciudadana;110090116 ;120188 ; Programa de formación de públ;267.789.926;267.789.926
Secretaría de Cultura Ciudadana;110090116 ;120189 ; Convoc publ para la democrati;3.127.022.434;3.034.482.792
Secretaría de Cultura Ciudadana;110090116 ;120173 ; Bibliotecas, Lecturas y Desar;10.069.255.641;10.069.230.343
Secretaría de Cultura Ciudadana;110098915 ;120173 ; Bibliotecas, Lecturas y Desar;308.974.142;284.920.087
Secretaría de Cultura Ciudadana;111090116 ;120189 ; Convoc publ para la democrati;4.770.000;4.770.000
Secretaría de Cultura Ciudadana;150007511 ;120299 ; Parque Biblioteca San Antonio;7.500.000;7.500.000
Secretaría de Cultura Ciudadana;150010510 ;130326 ; Equipamento Cultural y Comuni;763.002.225;763.002.225
Secretaría de Cultura Ciudadana;150010511 ;130326 ; Equipamento Cultural y Comuni;182.440.476;182.440.476
Secretaría de Cultura Ciudadana;150012011 ;130326 ; Equipamento Cultural y Comuni;8.560.551;8.560.551
Secretaría de Cultura Ciudadana;150015612 ;140060 ; Fortal de infraest para el dl;148.142.826;148.142.826
Secretaría de Cultura Ciudadana;150015613 ;140060 ; Fortal de infraest para el dl;11.468.179;11.468.179
Secretaría de Cultura Ciudadana;150070115 ;120186 ; Adecuación y mtto de los cent;29.844.525;29.844.525
Secretaría de Cultura Ciudadana;150070116 ;120300 ; Parque Biblioteca 12 de Octub;507.184.576;507.184.576
